Id,FirstName,LastName
1,Ash,Ketchum
2,Misty,Williams
3,Brock,Harrison
4,Professor,Oak
5,Gary,Oak
6,Lance,Dragon
7,Cynthia,Shirona
8,Steven,Stone
9,May,Maple
10,Dawn,Berlitz
11,Serena,Yvonne
12,Clemont,Lumiose
13,Paul,Veilstone
14,Tracey,Sketchit
15,Max,Maple
16,Iris,Village
17,Cilan,Striaton
18,N,Harmonia
19,Lillie,Aether
20,Gladion,Aether
21,Goh,Vermilion
22,Chloe,Cerise
23,Professor,Kukui
24,Professor,Elm
25,Professor,Birch
26,Professor,Rowan
27,Professor,Juniper
28,Professor,Sycamore
29,Nurse,Joy
30,Officer,Jenny
